Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Probability
3,1,25.0,0,0,7.65,1,0.003333333333333333
3,1,30.272590361445783,1,0,16.1,1,0.02
1,0,36.0,0,0,262.375,2,1.0
3,1,17.0,0,0,7.8958,1,0.06333333333333332
2,1,32.0,0,0,13.5,1,0.46166666666666667
3,1,18.0,0,0,7.75,1,0.02
3,0,22.0,0,0,7.725,3,0.88
1,1,13.0,2,2,262.375,2,0.67
2,0,30.272590361445783,0,0,21.0,1,0.94
3,0,18.0,0,0,7.8792,3,0.85
1,1,47.0,0,0,42.4,1,0.03
1,1,31.0,0,0,28.5375,2,0.11
1,0,60.0,1,4,263.0,1,0.95
3,0,24.0,0,0,7.75,3,0.7747727272727274
3,1,21.0,0,0,7.8958,1,0.0
3,0,29.0,0,0,7.925,1,0.31
1,1,28.5,0,0,27.7208,2,0.36
1,0,35.0,0,0,211.5,2,1.0
1,1,32.5,0,0,211.5,2,0.28
3,1,30.272590361445783,0,0,8.05,1,0.01
1,0,55.0,2,0,25.7,1,0.71
2,1,30.0,0,0,13.0,1,0.04
3,0,24.0,0,0,7.75,3,0.7747727272727274
3,1,6.0,1,1,15.2458,2,0.96
1,1,67.0,1,0,221.7792,1,0.18
1,1,49.0,0,0,26.0,1,0.28
3,1,30.272590361445783,0,0,7.8958,1,0.01
2,1,30.272590361445783,0,0,10.7083,3,0.19267857142857142
3,1,30.272590361445783,1,0,14.4542,2,0.13
3,0,27.0,0,0,7.8792,3,0.97
3,0,18.0,0,0,8.05,1,0.6
3,0,30.272590361445783,0,0,7.75,3,0.3027417998667999
2,1,2.0,1,1,23.0,1,0.98
3,0,22.0,1,0,13.9,1,0.3
3,1,30.272590361445783,0,0,7.775,1,0.32683333333333336
1,0,27.0,1,2,52.0,1,0.88
3,1,30.272590361445783,0,0,8.05,1,0.01
1,1,25.0,0,0,26.0,2,0.43
3,1,25.0,0,0,7.7958,1,0.15433333333333332
1,0,76.0,1,0,78.85,1,1.0
3,1,29.0,0,0,7.925,1,0.16833333333333336
3,0,20.0,0,0,7.8542,1,0.54
3,1,33.0,0,0,8.05,1,0.11
1,0,43.0,1,0,55.4417,2,1.0
2,1,27.0,1,0,26.0,1,0.04
3,1,30.272590361445783,0,0,7.75,3,0.0800314824064824
3,1,26.0,0,0,7.775,1,0.07433333333333332
3,0,16.0,1,1,8.5167,2,0.78
3,1,28.0,0,0,22.525,1,0.02
3,1,21.0,0,0,7.8208,3,0.42100000000000004
3,1,30.272590361445783,0,0,7.75,3,0.0800314824064824
3,1,30.272590361445783,0,0,8.7125,1,0.25
2,1,18.5,0,0,13.0,1,0.015
2,1,41.0,0,0,15.0458,2,0.07833333333333332
3,0,30.272590361445783,0,0,7.7792,3,0.36966849816849817
1,0,36.0,0,0,31.6792,2,1.0
3,0,18.5,0,0,7.2833,3,0.69
1,0,63.0,1,0,221.7792,1,1.0
3,1,18.0,1,0,14.4542,2,0.25
3,1,30.272590361445783,0,0,6.4375,2,0.01
3,0,1.0,1,1,16.7,1,0.9
1,1,36.0,0,0,75.2417,2,0.3466666666666666
2,0,29.0,1,0,26.0,1,0.99
2,0,12.0,0,0,15.75,1,0.9925
3,1,30.272590361445783,1,0,7.75,3,0.037467754467754466
1,0,35.0,1,0,57.75,2,1.0
3,1,28.0,0,0,7.25,1,0.08
3,1,30.272590361445783,0,0,7.75,3,0.0800314824064824
3,0,17.0,0,1,16.1,1,0.62
3,1,22.0,0,0,7.7958,1,0.21
3,0,30.272590361445783,2,0,23.25,3,0.72
2,1,42.0,0,0,13.0,1,0.45628571428571435
3,1,24.0,0,0,8.05,1,0.0
3,1,32.0,0,0,8.05,1,0.5891666666666666
1,1,53.0,0,0,28.5,2,0.35
3,0,30.272590361445783,0,4,25.4667,1,0.09
3,1,30.272590361445783,1,0,6.4375,2,0.01
3,1,43.0,0,0,7.8958,1,0.09166666666666667
3,1,24.0,0,0,7.8542,1,0.0
3,1,26.5,0,0,7.225,2,0.23
2,1,26.0,0,0,13.0,1,0.01
3,0,23.0,0,0,8.05,1,0.08
3,1,40.0,1,6,46.9,1,0.03
3,0,10.0,5,2,46.9,1,0.01
1,0,33.0,0,0,151.55,1,0.89
1,1,61.0,1,3,262.375,2,0.23
2,1,28.0,0,0,26.0,1,0.0
1,1,42.0,0,0,26.55,1,0.7170000000000001
3,1,31.0,3,0,18.0,1,0.19
1,1,30.272590361445783,0,0,51.8625,1,0.01
3,1,22.0,0,0,8.05,1,0.0
1,1,30.272590361445783,0,0,26.55,1,0.5101666666666665
2,1,30.0,1,1,26.0,1,0.08
1,0,23.0,0,1,83.1583,2,1.0
3,1,30.272590361445783,0,0,7.8958,2,0.012727272727272728
3,1,60.5,0,0,35.6271884892086,1,0.11
3,0,36.0,0,2,12.1833,1,0.58
3,1,13.0,4,2,31.3875,1,0.01
3,1,24.0,0,0,7.55,1,0.04
1,0,29.0,0,0,221.7792,1,1.0
3,0,23.0,0,0,7.8542,1,0.54
1,1,42.0,0,0,26.55,1,0.7170000000000001
3,0,26.0,0,2,13.775,1,0.72
3,0,30.272590361445783,0,0,7.7333,3,0.3672222222222222
3,1,7.0,1,1,15.2458,2,0.93
2,0,26.0,0,0,13.5,1,0.84
3,1,30.272590361445783,0,0,7.0,1,0.1
2,1,41.0,0,0,13.0,1,0.35847619047619056
3,0,26.0,1,1,22.025,1,0.4
1,1,48.0,0,0,50.4958,2,0.49
3,1,18.0,2,2,34.375,1,0.01
1,0,30.272590361445783,0,0,27.7208,2,0.99
3,0,22.0,0,0,8.9625,1,0.08
3,1,30.272590361445783,0,0,7.55,1,0.025
3,1,27.0,0,0,7.225,2,0.35
3,1,23.0,1,0,13.9,1,0.06
3,1,30.272590361445783,0,0,7.2292,2,0.046531746031746035
3,1,40.0,1,5,31.3875,1,0.03
2,0,15.0,0,2,39.0,1,1.0
2,0,20.0,0,0,36.75,1,1.0
1,1,54.0,1,0,55.4417,2,0.46
2,0,36.0,0,3,39.0,1,1.0
1,0,64.0,0,2,83.1583,2,0.99
2,1,30.0,0,0,13.0,1,0.04
1,1,37.0,1,1,83.1583,2,0.45
1,0,18.0,1,0,53.1,1,1.0
3,1,30.272590361445783,0,0,7.75,3,0.0800314824064824
1,0,27.0,1,1,247.5208,2,0.99
2,1,40.0,0,0,16.0,1,0.01
2,0,21.0,0,1,21.0,1,0.86
3,1,17.0,2,0,8.05,1,0.48233333333333334
3,0,30.272590361445783,8,2,69.55,1,0.01
2,1,40.0,0,0,13.0,1,0.045
2,1,34.0,1,0,26.0,1,0.02
1,1,30.272590361445783,0,0,26.0,1,0.09666666666666666
3,1,11.5,1,1,14.5,1,0.59
2,1,61.0,0,0,12.35,3,0.26
2,1,8.0,0,2,32.5,1,0.85
3,1,33.0,0,0,7.8542,1,0.22
1,1,6.0,0,2,134.5,2,0.93
3,0,18.0,0,0,7.775,1,0.29
2,1,23.0,0,0,10.5,1,0.011666666666666665
3,0,30.272590361445783,0,0,8.1125,1,0.08
3,0,30.272590361445783,0,0,15.5,3,0.66
3,1,0.33,0,2,14.4,1,1.0
1,1,47.0,1,0,227.525,2,0.29
2,0,8.0,1,1,26.0,1,0.93
2,1,25.0,0,0,10.5,1,0.005
1,1,30.272590361445783,0,0,25.7417,2,0.07666666666666667
3,0,35.0,0,0,7.75,3,0.21060699023199028
2,1,24.0,0,0,10.5,1,0.005
1,0,33.0,0,0,27.7208,2,0.99
3,1,25.0,0,0,7.8958,1,0.003333333333333333
3,1,32.0,0,0,22.525,1,0.4
3,1,30.272590361445783,0,0,7.05,1,0.0
2,1,17.0,0,0,73.5,1,0.1
2,0,60.0,1,0,26.0,1,0.53
3,0,38.0,4,2,7.775,1,0.19
1,1,42.0,0,0,42.5,1,0.15
3,0,30.272590361445783,0,0,7.8792,3,0.42
1,1,57.0,1,1,164.8667,1,0.28
1,0,50.0,1,1,211.5,2,0.98
3,1,30.272590361445783,0,0,8.05,1,0.01
2,0,30.0,1,0,13.8583,2,0.99
3,1,21.0,0,0,8.05,1,0.0
2,0,22.0,0,0,10.5,1,0.9058333333333334
3,1,21.0,0,0,7.7958,1,0.67
1,0,53.0,0,0,27.4458,2,0.89
3,0,30.272590361445783,0,2,15.2458,2,0.25
3,1,23.0,0,0,7.7958,1,0.06
3,0,30.272590361445783,0,0,7.75,3,0.3027417998667999
3,1,40.5,0,0,15.1,1,0.0
2,1,36.0,0,0,13.0,1,0.09095238095238095
2,1,14.0,0,0,65.0,1,0.12
1,0,21.0,0,0,26.55,1,0.99
3,1,21.0,1,0,6.4958,1,0.08
3,1,30.272590361445783,0,0,7.8792,3,0.018405844155844155
1,1,39.0,1,0,71.2833,2,0.46
3,1,20.0,0,0,7.8542,1,0.0
1,1,64.0,1,0,75.25,2,0.31
3,1,20.0,0,0,7.225,2,0.77
2,0,18.0,1,1,13.0,1,0.8644166666666666
1,0,48.0,1,0,106.425,2,1.0
1,0,55.0,0,0,27.7208,2,0.9
2,0,45.0,0,2,30.0,1,0.94
1,1,45.0,1,1,134.5,2,0.4
3,1,30.272590361445783,0,0,7.8875,1,0.02
3,1,30.272590361445783,1,2,23.45,1,0.06
1,1,41.0,1,0,51.8625,1,0.27
2,0,22.0,0,0,21.0,1,0.85
2,1,42.0,1,1,32.5,1,0.07714285714285714
2,0,29.0,1,0,26.0,1,0.99
3,0,30.272590361445783,1,0,14.4542,2,0.17
2,0,0.92,1,2,27.75,1,0.67
3,1,20.0,0,0,7.925,1,0.105
1,1,27.0,1,0,136.7792,2,0.45
3,1,24.0,0,0,9.325,1,0.01
3,1,32.5,0,0,9.5,1,0.20166666666666663
3,1,30.272590361445783,0,0,7.55,1,0.025
3,1,30.272590361445783,0,0,7.75,3,0.0800314824064824
3,1,28.0,0,0,8.05,1,0.05
2,0,19.0,0,0,13.0,1,0.8769166666666667
3,1,21.0,0,0,7.775,1,0.05
3,1,36.5,1,0,17.4,1,0.0
3,1,21.0,0,0,7.8542,1,0.01
2,0,29.0,0,2,23.0,1,0.99
3,0,1.0,1,1,12.1833,1,0.92
2,1,30.0,0,0,12.7375,2,0.29
3,1,30.272590361445783,0,0,7.8958,1,0.01
1,1,30.272590361445783,0,0,0.0,1,0.0
3,1,30.272590361445783,0,0,7.55,1,0.025
3,0,30.272590361445783,0,0,8.05,1,0.08
3,1,17.0,0,0,8.6625,1,0.0
1,1,46.0,0,0,75.2417,2,0.23666666666666664
3,1,30.272590361445783,0,0,7.75,3,0.0800314824064824
1,0,26.0,1,0,136.7792,2,0.97
3,0,30.272590361445783,1,0,15.5,3,0.72
3,1,30.272590361445783,0,0,7.225,2,0.0
2,0,20.0,1,0,26.0,1,0.96
2,1,28.0,0,0,10.5,1,0.01
2,1,40.0,1,0,26.0,1,0.01
2,1,30.0,1,0,21.0,1,0.03
2,1,22.0,0,0,10.5,1,0.026666666666666665
3,0,23.0,0,0,8.6625,1,0.06
3,1,0.75,1,1,13.775,1,1.0
3,0,30.272590361445783,0,0,7.75,3,0.3027417998667999
3,0,9.0,1,1,15.2458,2,0.29
3,0,2.0,1,1,20.2125,1,0.63
3,1,36.0,0,0,7.25,1,0.0
3,1,30.272590361445783,0,0,7.25,1,0.0014285714285714286
1,1,24.0,1,0,82.2667,1,0.19
3,1,30.272590361445783,0,0,7.2292,2,0.046531746031746035
3,1,30.272590361445783,0,0,8.05,1,0.01
1,1,30.272590361445783,0,0,39.6,1,0.07
3,0,30.0,0,0,6.95,3,0.27
3,1,30.272590361445783,0,0,7.2292,2,0.046531746031746035
1,1,53.0,1,1,81.8583,1,0.08
3,1,36.0,0,0,9.5,1,0.03
3,1,26.0,0,0,7.8958,1,0.0
2,0,1.0,1,2,41.5792,2,0.63
3,1,30.272590361445783,2,0,21.6792,2,0.27
1,1,30.0,0,0,45.5,1,0.0
3,1,29.0,0,0,7.8542,1,0.08333333333333331
3,1,32.0,0,0,7.775,1,0.2633333333333333
2,1,30.272590361445783,0,0,15.0458,2,0.07
2,1,43.0,0,1,21.0,1,0.0648095238095238
3,1,24.0,0,0,8.6625,1,0.05
3,0,30.272590361445783,0,0,7.75,3,0.3027417998667999
1,0,64.0,1,1,26.55,1,0.84
1,1,30.0,1,2,151.55,1,0.46
3,1,0.83,0,1,9.35,1,0.99
1,1,55.0,1,1,93.5,1,0.25
3,0,45.0,1,0,14.1083,1,0.11
3,1,18.0,0,0,8.6625,1,0.01
3,1,22.0,0,0,7.225,2,0.68
3,1,30.272590361445783,0,0,7.575,1,0.025
3,0,37.0,0,0,7.75,3,0.1725079365079365
1,0,55.0,0,0,135.6333,2,0.97
3,0,17.0,0,0,7.7333,3,0.9
1,1,57.0,1,0,146.5208,2,0.4
2,1,19.0,0,0,10.5,1,0.41999999999999993
3,1,27.0,0,0,7.8542,1,0.19
2,1,22.0,2,0,31.5,1,0.04
3,1,26.0,0,0,7.775,1,0.07433333333333332
3,1,25.0,0,0,7.2292,2,0.0705
2,1,26.0,0,0,13.0,1,0.01
1,1,33.0,0,0,26.55,1,0.8933333333333334
1,0,39.0,0,0,211.3375,1,1.0
3,1,23.0,0,0,7.05,1,0.03
2,0,12.0,2,1,39.0,1,1.0
1,1,46.0,0,0,79.2,2,0.07
2,1,29.0,1,0,26.0,1,0.05
2,1,21.0,0,0,13.0,1,0.0
2,0,48.0,0,2,36.75,1,0.98
1,1,39.0,0,0,29.7,2,0.42
3,1,30.272590361445783,0,0,7.225,2,0.0
3,0,19.0,1,1,15.7417,2,0.64
3,1,27.0,0,0,7.8958,1,0.15
1,1,30.0,0,0,26.0,1,0.09666666666666666
2,1,32.0,0,0,13.0,1,0.5275000000000001
3,1,39.0,0,2,7.2292,2,0.08549603174603174
2,1,25.0,0,0,31.5,1,0.13
3,1,30.272590361445783,0,0,7.2292,2,0.046531746031746035
2,1,18.0,0,0,10.5,1,0.2008333333333333
3,1,32.0,0,0,7.5792,1,0.23
3,1,30.272590361445783,1,9,69.55,1,0.09050000000000001
1,0,58.0,0,1,512.3292,2,0.99
3,1,30.272590361445783,1,1,14.5,1,0.21
3,0,16.0,0,0,7.65,1,0.78
2,1,26.0,0,0,13.0,1,0.01
3,0,38.0,0,0,7.2292,2,0.25
2,1,24.0,0,0,13.5,1,0.0
2,0,31.0,0,0,21.0,1,0.94
1,0,45.0,0,1,63.3583,2,0.99
2,1,25.0,0,0,10.5,1,0.005
2,1,18.0,0,0,73.5,1,0.04
2,1,49.0,1,2,65.0,1,0.12
3,0,0.17,1,2,20.575,1,0.75
1,1,50.0,0,0,26.0,1,0.26
1,0,59.0,2,0,51.4792,1,1.0
3,1,30.272590361445783,0,0,7.8792,1,0.02
3,1,30.272590361445783,0,0,7.75,3,0.0800314824064824
3,0,30.0,1,0,15.55,1,0.88
3,1,14.5,8,2,69.55,1,0.07
2,0,24.0,1,1,37.0042,2,1.0
2,0,31.0,0,0,21.0,1,0.94
3,1,27.0,0,0,8.6625,1,0.7
1,0,25.0,1,0,55.4417,2,0.98
3,0,30.272590361445783,1,9,69.55,1,0.36
3,1,30.272590361445783,1,0,14.4583,2,0.12
3,0,22.0,0,0,39.6875,1,0.17
1,0,45.0,0,1,59.4,2,0.99
2,1,29.0,0,0,13.8583,2,0.63
2,1,21.0,1,0,11.5,1,0.02
1,0,31.0,0,0,134.5,2,1.0
1,1,49.0,0,0,0.0,1,0.17
2,1,44.0,0,0,13.0,1,0.36414285714285716
1,0,54.0,1,1,81.8583,1,1.0
1,0,45.0,0,0,262.375,2,0.99
3,0,22.0,2,0,8.6625,1,0.12
2,1,21.0,0,0,11.5,1,0.01
1,1,55.0,0,0,50.0,1,0.07
3,1,5.0,4,2,31.3875,1,0.14
3,1,30.272590361445783,0,0,7.75,3,0.0800314824064824
3,1,26.0,0,0,7.8792,3,0.42100000000000004
3,0,30.272590361445783,0,0,14.5,1,0.54
3,0,19.0,1,0,16.1,1,0.35
2,1,30.272590361445783,0,0,12.875,1,0.04
2,0,24.0,1,2,65.0,1,1.0
3,1,24.0,0,0,7.775,1,0.06333333333333332
2,1,57.0,0,0,13.0,1,0.025
3,1,21.0,0,0,7.75,3,0.3535757575757576
3,1,6.0,3,1,21.075,1,0.16
1,1,23.0,0,0,93.5,1,0.31
1,0,51.0,0,1,39.4,1,0.96
3,1,13.0,0,2,20.25,1,0.39
2,1,47.0,0,0,10.5,1,0.1
3,1,29.0,3,1,22.025,1,0.04
1,0,18.0,1,0,60.0,1,1.0
3,1,24.0,0,0,7.25,3,0.08
1,0,48.0,1,1,79.2,2,1.0
3,1,22.0,0,0,7.775,1,0.02
3,1,31.0,0,0,7.7333,3,0.01
1,0,30.0,0,0,164.8667,1,0.99
2,1,38.0,1,0,21.0,1,0.0
1,0,22.0,0,1,59.4,2,1.0
1,1,17.0,0,0,47.1,1,0.42
1,1,43.0,1,0,27.7208,2,0.16
2,1,20.0,0,0,13.8625,2,0.545
2,1,23.0,1,0,10.5,1,0.05166666666666666
1,1,50.0,1,1,211.5,2,0.26
3,0,30.272590361445783,0,0,7.7208,3,0.3672222222222222
3,0,3.0,1,1,13.775,1,0.83
3,0,30.272590361445783,0,0,7.75,3,0.3027417998667999
1,0,37.0,1,0,90.0,3,1.0
3,0,28.0,0,0,7.775,1,0.2992857142857143
3,1,30.272590361445783,0,0,8.05,1,0.01
1,0,39.0,0,0,108.9,2,1.0
3,1,38.5,0,0,7.25,1,0.0
3,1,30.272590361445783,0,0,8.05,1,0.01
3,1,30.272590361445783,1,1,22.3583,2,0.41
